"Industries Types","Number"
"Accommodation and food","440"
"Administrative and support service activity","4"
"Agriculture, forestry and fishing","184"
"Art, entertainment and recreation","0"
"Construction","1"
"Education","286"
"Electricty gas and water","13"
"Financial intermediation and insurance","84"
"Health and social work","86"
"Information and communications","5"
"Manufacturing","727"
"Mining and quarrying","7"
"Other service activities","127"
"Professional,scientific and techniqual activity","11"
"Real state, renting and business activities","0"
"Transport and storage","15"
"Water supply, wet management","3"
"Wholesale and retail trade","1898"
"Total","3891"
