"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","138"
"Male","118"
"Brahman - Hill",""
"Female","164"
"Male","135"
"Chhetri",""
"Female","7152"
"Male","6484"
"Dalit Others",""
"Female","150"
"Male","110"
"Damai/Dholi",""
"Female","285"
"Male","241"
"Kami",""
"Female","808"
"Male","707"
"Kumal",""
"Female","23"
"Male","26"
"Lohar",""
"Female","29"
"Male","25"
"Others",""
"Female","20"
"Male","20"
"Sanyasi/Dasnami",""
"Female","295"
"Male","309"
"Sarki",""
"Female","356"
"Male","324"
"Terai Others",""
"Female","16"
"Male","10"
"Thakuri",""
"Female","270"
"Male","222"
"Tharu",""
"Female","72"
"Male","66"
