"Population by Five Years Age Group","Number"
"0-4",""
"Female","1347"
"Male","1452"
"10-14",""
"Female","1387"
"Male","1368"
"15-19",""
"Female","1049"
"Male","852"
"20-24",""
"Female","683"
"Male","516"
"25-29",""
"Female","648"
"Male","553"
"30-34",""
"Female","597"
"Male","426"
"35-39",""
"Female","531"
"Male","415"
"40-44",""
"Female","405"
"Male","367"
"45-49",""
"Female","378"
"Male","301"
"50-54",""
"Female","304"
"Male","291"
"55-59",""
"Female","265"
"Male","263"
"5-9",""
"Female","1443"
"Male","1466"
"60-64",""
"Female","252"
"Male","242"
"65-69",""
"Female","211"
"Male","189"
"70-74",""
"Female","165"
"Male","143"
"75+",""
"Female","118"
"Male","114"
