"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","4947"
"Christianity","999"
"Hindu","51865"
"Islam","65"
"Jainism","6"
"Kirat","64"
"Prakriti","2"
"Sikhism","0"
"Undefined","58"
"Total","58006"
