"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","4"
"Cow Dung","0"
"Electricity Fuel","3"
"KeroseneFuel","98"
"LP Gas","1541"
"Not Sated about Fuel","22"
"OthersFuel","15"
"Wood/FireWood","6956"
"Total","8639"
