"Population by Mother tongue","Number"
"Bangla",""
"Female","73"
"Male","60"
"","133"
"Bhojpuri",""
"Female","10"
"Male","13"
"","23"
"Bhujel",""
"Female","8"
"Male","12"
"","20"
"Gurung",""
"Female","9"
"Male","9"
"","18"
"Hindi",""
"Female","10"
"Male","16"
"","26"
"Jirel",""
"Female","12"
"Male","13"
"","25"
"Magar",""
"Female","9"
"Male","13"
"","22"
"Maithili",""
"Female","65"
"Male","132"
"","197"
"Nepali",""
"Female","11898"
"Male","9864"
"","21762"
"Newar",""
"Female","1028"
"Male","897"
"","1925"
"Not Reported",""
"Female","12"
"Male","18"
"","30"
"Others",""
"Female","6"
"Male","19"
"","25"
"Rai",""
"Female","8"
"Male","4"
"","12"
"Sherpa",""
"Female","204"
"Male","188"
"","392"
"Sign Language",""
"Female","7"
"Male","4"
"","11"
"Sunuwar",""
"Female","16"
"Male","19"
"","35"
"Tamang",""
"Female","2372"
"Male","2086"
"","4458"
"Thami",""
"Female","1759"
"Male","1613"
"","3372"
