"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","13"
"Christianity","270"
"Hindu","34591"
"Islam","3229"
"Jainism","33"
"Kirat","1"
"Prakriti","1277"
"Sikhism","0"
"Undefined","56"
"Total","39470"
