"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","668"
"Male","607"
"Chhetri",""
"Female","2181"
"Male","1762"
"Damai/Dholi",""
"Female","394"
"Male","332"
"Gharti/Bhujel",""
"Female","64"
"Male","55"
"Kami",""
"Female","428"
"Male","356"
"Limbu",""
"Female","4105"
"Male","3560"
"Magar",""
"Female","221"
"Male","180"
"Majhi",""
"Female","66"
"Male","57"
"Newar",""
"Female","36"
"Male","33"
"Others",""
"Female","24"
"Male","11"
"Rai",""
"Female","176"
"Male","160"
"Sarki",""
"Female","50"
"Male","50"
"Sonar",""
"Female","24"
"Male","27"
"Tamang",""
"Female","273"
"Male","200"
"Undefined Others",""
"Female","7"
"Male","11"
