"Population by Five Years Age Group","Number"
"0-4",""
"Female","700"
"Male","705"
"10-14",""
"Female","1152"
"Male","1157"
"15-19",""
"Female","1101"
"Male","925"
"20-24",""
"Female","770"
"Male","508"
"25-29",""
"Female","596"
"Male","370"
"30-34",""
"Female","493"
"Male","303"
"35-39",""
"Female","469"
"Male","310"
"40-44",""
"Female","508"
"Male","361"
"45-49",""
"Female","440"
"Male","392"
"50-54",""
"Female","380"
"Male","346"
"55-59",""
"Female","282"
"Male","267"
"5-9",""
"Female","973"
"Male","925"
"60-64",""
"Female","289"
"Male","243"
"65-69",""
"Female","199"
"Male","204"
"70-74",""
"Female","159"
"Male","160"
"75+",""
"Female","206"
"Male","226"
