"Population by Five Years Age Group","Number"
"0-4",""
"Female","1254"
"Male","1154"
"10-14",""
"Female","1166"
"Male","1216"
"15-19",""
"Female","972"
"Male","927"
"20-24",""
"Female","758"
"Male","584"
"25-29",""
"Female","602"
"Male","547"
"30-34",""
"Female","471"
"Male","490"
"35-39",""
"Female","443"
"Male","386"
"40-44",""
"Female","341"
"Male","344"
"45-49",""
"Female","315"
"Male","318"
"50-54",""
"Female","240"
"Male","279"
"55-59",""
"Female","220"
"Male","231"
"5-9",""
"Female","1219"
"Male","1268"
"60-64",""
"Female","215"
"Male","196"
"65-69",""
"Female","130"
"Male","140"
"70-74",""
"Female","96"
"Male","65"
"75+",""
"Female","82"
"Male","62"
