"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","682"
"Cow Dung","13"
"Electricity","0"
"Kerosene","37"
"LP Gas","373"
"Not stated","79"
"Others","36"
"Wood/Firewood","8689"
"Total","9909"
