"Industries Employment","Number"
"Accommodation,  food",""
"Female","2670"
"Male","3780"
"Administrative, support service",""
"Female","53"
"Male","522"
"Agriculture, forestry and  fishing",""
"Female","309"
"Male","658"
"Arts, entertainment, recreation",""
"Female","6"
"Male","40"
"Construction",""
"Female","2"
"Male","85"
"Education",""
"Female","4210"
"Male","5344"
"Electricity, gas and water",""
"Female","27"
"Male","71"
"Financial intermediation and insurance",""
"Female","729"
"Male","1293"
"Health, social work",""
"Female","1330"
"Male","1776"
"Information and communication",""
"Female","145"
"Male","626"
"Manufacturing",""
"Female","2309"
"Male","13001"
"Other service activities",""
"Female","768"
"Male","1968"
"Professional, scientific, techniqual activity",""
"Female","47"
"Male","297"
"Real estate, renting and business activity",""
"Female","12"
"Male","49"
"Transportation,  storage",""
"Female","42"
"Male","446"
"Water supply, wet management",""
"Female","26"
"Male","82"
"Wholesale, retail trade",""
"Female","7864"
"Male","14291"
