"Industries Types","Number"
"Accommodation and food","2380"
"Administrative and support service activity","157"
"Agriculture, forestry and fishing","204"
"Art, entertainment and recreation","19"
"Construction","10"
"Education","692"
"Electricty gas and water","3"
"Financial intermediation and insurance","221"
"Health and social work","312"
"Information and communications","54"
"Manufacturing","2051"
"Mining and quarrying","1"
"Other service activities","1162"
"Professional,scientific and techniqual activity","127"
"Real state, renting and business activities","3"
"Transport and storage","62"
"Water supply, wet management","16"
"Wholesale and retail trade","11192"
"Total","18666"
