"Population by Mother tongue","Number"
"Bangla",""
"Female","3"
"Male","8"
"","11"
"Bhojpuri",""
"Female","9"
"Male","40"
"","49"
"Bhujel",""
"Female","25"
"Male","13"
"","38"
"Gurung",""
"Female","3824"
"Male","2950"
"","6774"
"Hindi",""
"Female","11"
"Male","42"
"","53"
"Magar",""
"Female","3137"
"Male","2372"
"","5509"
"Maithili",""
"Female","23"
"Male","43"
"","66"
"Nepali",""
"Female","21217"
"Male","16754"
"","37971"
"Newar",""
"Female","302"
"Male","241"
"","543"
"Not Reported",""
"Female","29"
"Male","17"
"","46"
"Others",""
"Female","15"
"Male","12"
"","27"
"Rai",""
"Female","13"
"Male","4"
"","17"
"Thakali",""
"Female","4"
"Male","7"
"","11"
"Tharu",""
"Female","10"
"Male","29"
"","39"
"Urdu",""
"Female","41"
"Male","48"
"","89"
