"Population by Caste/Ethinicity","Number"
"Amat",""
"Female","125"
"Male","117"
"Badhaee",""
"Female","318"
"Male","338"
"Bangali",""
"Female","18"
"Male","16"
"Bantar/Sardar",""
"Female","388"
"Male","387"
"Brahman - Hill",""
"Female","54"
"Male","64"
"Brahman - Tarai",""
"Female","62"
"Male","56"
"Chamar/ Harijan/ Ram",""
"Female","226"
"Male","230"
"Chhetri",""
"Female","13"
"Male","10"
"Dhanuk",""
"Female","432"
"Male","449"
"Dhobi",""
"Female","31"
"Male","34"
"Dom",""
"Female","25"
"Male","25"
"Dusadh/ Pasawan/ Pasi",""
"Female","168"
"Male","208"
"Gaderi/Bhedihar",""
"Female","613"
"Male","612"
"Gangai",""
"Female","8"
"Male","4"
"Gurung",""
"Female","89"
"Male","90"
"Hajam/Thakur",""
"Female","113"
"Male","135"
"Halwai",""
"Female","160"
"Male","170"
"Jhangad/ Dhagar",""
"Female","459"
"Male","474"
"Kalwar",""
"Female","204"
"Male","217"
"Kamar",""
"Female","24"
"Male","25"
"Kami",""
"Female","12"
"Male","17"
"Kathabaniyan",""
"Female","105"
"Male","94"
"Kayastha",""
"Female","27"
"Male","36"
"Kewat",""
"Female","171"
"Male","180"
"Khatwe",""
"Female","199"
"Male","217"
"Koiri/Kushwaha",""
"Female","4719"
"Male","4879"
"Kumal",""
"Female","80"
"Male","70"
"Kumhar",""
"Female","203"
"Male","224"
"Lohar",""
"Female","17"
"Male","16"
"Majhi",""
"Female","414"
"Male","459"
"Mallaha",""
"Female","419"
"Male","395"
"Marwadi",""
"Female","170"
"Male","168"
"Musahar",""
"Female","514"
"Male","579"
"Musalman",""
"Female","2138"
"Male","2057"
"Newar",""
"Female","40"
"Male","29"
"Others",""
"Female","36"
"Male","30"
"Pattharkatta/ Kushwadiya",""
"Female","153"
"Male","168"
"Sanyasi/Dasnami",""
"Female","15"
"Male","20"
"Sarki",""
"Female","7"
"Male","8"
"Satar/ Santhal",""
"Female","23"
"Male","26"
"Sonar",""
"Female","51"
"Male","57"
"Sudhi",""
"Female","299"
"Male","298"
"Tamang",""
"Female","12"
"Male","7"
"Tatma/Tatwa",""
"Female","297"
"Male","289"
"Teli",""
"Female","268"
"Male","252"
"Terai Others",""
"Female","14"
"Male","7"
"Tharu",""
"Female","302"
"Male","278"
"Undefined Others",""
"Female","9"
"Male","11"
"Yadav",""
"Female","2966"
"Male","3331"
