"Number of households by type of outer wall","Number"
"BambooWall","5415"
"Cement Bonded Bricks/Stone Wall","844"
"Mud Bonded Bricks/Stone Wall","36"
"Not stated","16"
"Others","15"
"Unbaked Bricks","3"
"Wood/Planks","32"
"Total","6361"
