"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","8"
"Cow Dung","16"
"Electricity Fuel","0"
"KeroseneFuel","10"
"LP Gas","90"
"Not Sated about Fuel","31"
"OthersFuel","14"
"Wood/FireWood","6594"
"Total","6763"
