"Population by Five Years Age Group","Number"
"0-4",""
"Female","921"
"Male","940"
"10-14",""
"Female","927"
"Male","906"
"15-19",""
"Female","668"
"Male","672"
"20-24",""
"Female","525"
"Male","453"
"25-29",""
"Female","427"
"Male","360"
"30-34",""
"Female","349"
"Male","306"
"35-39",""
"Female","328"
"Male","293"
"40-44",""
"Female","259"
"Male","271"
"45-49",""
"Female","268"
"Male","262"
"50-54",""
"Female","218"
"Male","236"
"55-59",""
"Female","161"
"Male","205"
"5-9",""
"Female","1025"
"Male","938"
"60-64",""
"Female","192"
"Male","171"
"65-69",""
"Female","120"
"Male","107"
"70-74",""
"Female","97"
"Male","66"
"75+",""
"Female","75"
"Male","44"
