"Number of households by type of outer wall","Number"
"BambooWall","2779"
"Cement Bonded Bricks/Stone Wall","499"
"Mud Bonded Bricks/Stone Wall","53"
"Not Stated about Wall","5"
"Other Type Wall","2749"
"Unbaked Bricks","18"
"Wood/Planks","32"
"Total","6135"
