"Population by Five Years Age Group","Number"
"0-4",""
"Female","1045"
"Male","1142"
"10-14",""
"Female","1963"
"Male","1810"
"15-19",""
"Female","1906"
"Male","1561"
"20-24",""
"Female","1363"
"Male","622"
"25-29",""
"Female","1091"
"Male","507"
"30-34",""
"Female","862"
"Male","421"
"35-39",""
"Female","858"
"Male","492"
"40-44",""
"Female","931"
"Male","547"
"45-49",""
"Female","857"
"Male","611"
"50-54",""
"Female","747"
"Male","600"
"55-59",""
"Female","652"
"Male","603"
"5-9",""
"Female","1292"
"Male","1238"
"60-64",""
"Female","581"
"Male","547"
"65-69",""
"Female","425"
"Male","485"
"70-74",""
"Female","322"
"Male","333"
"75+",""
"Female","595"
"Male","546"
