"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","10"
"Male","19"
"","29"
"Hayu/Vayu",""
"Female","7"
"Male","7"
"","14"
"Magar",""
"Female","6253"
"Male","5608"
"","11861"
"Maithili",""
"Female","38"
"Male","73"
"","111"
"Majhi",""
"Female","133"
"Male","154"
"","287"
"Nepali",""
"Female","8646"
"Male","7892"
"","16538"
"Newar",""
"Female","1058"
"Male","1015"
"","2073"
"Not Reported",""
"Female","13"
"Male","5"
"","18"
"Others",""
"Female","13"
"Male","22"
"","35"
"Rai",""
"Female","16"
"Male","13"
"","29"
"Sunuwar",""
"Female","101"
"Male","85"
"","186"
"Tamang",""
"Female","2741"
"Male","2483"
"","5224"
