"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","143"
"Cow Dung","18"
"Electricity Fuel","0"
"KeroseneFuel","19"
"LP Gas","46"
"Not Sated about Fuel","23"
"OthersFuel","2"
"Wood/FireWood","6628"
"Total","6879"
