"Population by Five Years Age Group","Number"
"0-4",""
"Female","1367"
"Male","1446"
"10-14",""
"Female","1724"
"Male","1775"
"15-19",""
"Female","1465"
"Male","1211"
"20-24",""
"Female","1251"
"Male","989"
"25-29",""
"Female","1022"
"Male","874"
"30-34",""
"Female","760"
"Male","658"
"35-39",""
"Female","708"
"Male","544"
"40-44",""
"Female","628"
"Male","493"
"45-49",""
"Female","494"
"Male","456"
"50-54",""
"Female","404"
"Male","415"
"55-59",""
"Female","321"
"Male","358"
"5-9",""
"Female","1699"
"Male","1716"
"60-64",""
"Female","284"
"Male","265"
"65-69",""
"Female","170"
"Male","206"
"70-74",""
"Female","116"
"Male","120"
"75+",""
"Female","79"
"Male","92"
