"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","20"
"Male","15"
"Brahman - Hill",""
"Female","31"
"Male","35"
"Chamar/ Harijan/ Ram",""
"Female","11"
"Male","11"
"Chhetri",""
"Female","4341"
"Male","3896"
"Damai/Dholi",""
"Female","641"
"Male","563"
"Gaine",""
"Female","11"
"Male","12"
"Gharti/Bhujel",""
"Female","8"
"Male","9"
"Kami",""
"Female","1871"
"Male","1623"
"Magar",""
"Female","5040"
"Male","4365"
"Others",""
"Female","17"
"Male","13"
"Sanyasi/Dasnami",""
"Female","142"
"Male","115"
"Sarki",""
"Female","46"
"Male","35"
"Thakuri",""
"Female","49"
"Male","37"
