"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","2"
"Cow Dung","8"
"Electricity Fuel","0"
"KeroseneFuel","6"
"LP Gas","1"
"Not Sated about Fuel","31"
"OthersFuel","0"
"Wood/FireWood","4697"
"Total","4745"
