"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","1231"
"Cow Dung","18"
"Electricity","16"
"Kerosene","66"
"LP Gas","6967"
"Not stated","106"
"Others","24"
"Wood/Firewood","9911"
"Total","18339"
