"Number of households by type of outer wall","Number"
"BambooWall","520"
"Cement Bonded Bricks/Stone Wall","6618"
"Mud Bonded Bricks/Stone Wall","4780"
"Not Stated about Wall","128"
"Other Type Wall","1974"
"Unbaked Bricks","1024"
"Wood/Planks","439"
"Total","15483"
