"Industries Employment","Number"
"Accommodation,  food",""
"Female","505"
"Male","373"
"Administrative, support service",""
"Female","16"
"Male","59"
"Agriculture, forestry and  fishing",""
"Female","324"
"Male","628"
"Arts, entertainment, recreation",""
"Female","4"
"Male","22"
"Construction",""
"Female","29"
"Male","129"
"Education",""
"Female","1497"
"Male","2241"
"Electricity, gas and water",""
"Female","24"
"Male","143"
"Financial intermediation and insurance",""
"Female","120"
"Male","203"
"Health, social work",""
"Female","343"
"Male","335"
"Information and communication",""
"Female","9"
"Male","42"
"Manufacturing",""
"Female","171"
"Male","558"
"Other service activities",""
"Female","147"
"Male","248"
"Professional, scientific, techniqual activity",""
"Female","8"
"Male","16"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","61"
"Male","242"
"Water supply, wet management",""
"Female","0"
"Male","5"
"Wholesale, retail trade",""
"Female","1411"
"Male","1401"
