"Industries Types","Number"
"Accommodation and food","487"
"Administrative and support service activity","45"
"Agriculture, forestry and fishing","509"
"Art, entertainment and recreation","11"
"Construction","8"
"Education","509"
"Electricty gas and water","33"
"Financial intermediation and insurance","72"
"Health and social work","144"
"Information and communications","6"
"Manufacturing","489"
"Mining and quarrying","0"
"Other service activities","166"
"Professional,scientific and techniqual activity","13"
"Real state, renting and business activities","0"
"Transport and storage","71"
"Water supply, wet management","2"
"Wholesale and retail trade","1743"
"Total","4308"
