"Number of households by type of outer wall","Number"
"BambooWall","3746"
"Cement Bonded Bricks/Stone Wall","883"
"Mud Bonded Bricks/Stone Wall","155"
"Not Stated about Wall","259"
"Other Type Wall","231"
"Unbaked Bricks","4"
"Wood/Planks","161"
"Total","5439"
