"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","418"
"Cow Dung","4143"
"Electricity","0"
"Kerosene","101"
"LP Gas","232"
"Not stated","25"
"Others","224"
"Wood/Firewood","1955"
"Total","7098"
