"Population by Five Years Age Group","Number"
"0-4",""
"Female","1819"
"Male","1906"
"10-14",""
"Female","2209"
"Male","2347"
"15-19",""
"Female","1874"
"Male","1781"
"20-24",""
"Female","1478"
"Male","1115"
"25-29",""
"Female","1470"
"Male","1020"
"30-34",""
"Female","1258"
"Male","927"
"35-39",""
"Female","1245"
"Male","1027"
"40-44",""
"Female","966"
"Male","920"
"45-49",""
"Female","835"
"Male","813"
"50-54",""
"Female","661"
"Male","703"
"55-59",""
"Female","510"
"Male","508"
"5-9",""
"Female","2273"
"Male","2356"
"60-64",""
"Female","486"
"Male","463"
"65-69",""
"Female","332"
"Male","359"
"70-74",""
"Female","232"
"Male","247"
"75+",""
"Female","250"
"Male","232"
