"Population by Mother tongue","Number"
"Achhami",""
"Female","16449"
"Male","13698"
"","30147"
"Bajureli",""
"Female","88"
"Male","26"
"","114"
"Doteli",""
"Female","58"
"Male","23"
"","81"
"Hindi",""
"Female","6"
"Male","28"
"","34"
"Kham",""
"Female","11"
"Male","7"
"","18"
"Magar",""
"Female","13"
"Male","19"
"","32"
"Maithili",""
"Female","32"
"Male","66"
"","98"
"Nepali",""
"Female","1561"
"Male","1479"
"","3040"
"Not Reported",""
"Female","11"
"Male","8"
"","19"
"Others",""
"Female","37"
"Male","38"
"","75"
"Rai",""
"Female","5"
"Male","6"
"","11"
"Santhali",""
"Female","5"
"Male","7"
"","12"
"Tamang",""
"Female","15"
"Male","16"
"","31"
"Tharu",""
"Female","4"
"Male","50"
"","54"
"Urdu",""
"Female","9"
"Male","13"
"","22"
