"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","7"
"Cow Dung","8"
"Electricity Fuel","1"
"KeroseneFuel","23"
"LP Gas","85"
"Not Sated about Fuel","48"
"OthersFuel","14"
"Wood/FireWood","6507"
"Total","6693"
