"Population by Caste Ethinicity","Number"
"Badi",""
"Female","22"
"Male","15"
"","37"
"Brahman - Hill",""
"Female","2840"
"Male","2362"
"","5202"
"Chhetri",""
"Female","4698"
"Male","3980"
"","8678"
"Damai/Dholi",""
"Female","565"
"Male","462"
"","1027"
"Ghale",""
"Female","170"
"Male","150"
"","320"
"Gharti/Bhujel",""
"Female","189"
"Male","169"
"","358"
"Gurung",""
"Female","246"
"Male","257"
"","503"
"Hajam/Thakur",""
"Female","6"
"Male","7"
"","13"
"Kami",""
"Female","1048"
"Male","837"
"","1885"
"Magar",""
"Female","728"
"Male","679"
"","1407"
"Majhi",""
"Female","1115"
"Male","1023"
"","2138"
"Newar",""
"Female","4567"
"Male","3941"
"","8508"
"Others",""
"Female","46"
"Male","40"
"","86"
"Pahari",""
"Female","127"
"Male","125"
"","252"
"Rai",""
"Female","13"
"Male","11"
"","24"
"Sanyasi/Dasnami",""
"Female","2554"
"Male","1852"
"","4406"
"Sarki",""
"Female","256"
"Male","226"
"","482"
"Sherpa",""
"Female","28"
"Male","22"
"","50"
"Tamang",""
"Female","5820"
"Male","4965"
"","10785"
"Teli",""
"Female","4"
"Male","7"
"","11"
"Terai Others",""
"Female","6"
"Male","7"
"","13"
"Thakuri",""
"Female","155"
"Male","93"
"","248"
"Tharu",""
"Female","4"
"Male","18"
"","22"
"Undefined Others",""
"Female","7"
"Male","7"
"","14"
"Yadav",""
"Female","11"
"Male","17"
"","28"
