"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","7"
"Cow Dung","0"
"Electricity Fuel","3"
"KeroseneFuel","66"
"LP Gas","909"
"Not Sated about Fuel","106"
"OthersFuel","18"
"Wood/FireWood","9797"
"Total","10906"
