"Population by Five Years Age Group","Number"
"0-4",""
"Female","672"
"Male","745"
"10-14",""
"Female","1103"
"Male","1038"
"15-19",""
"Female","1050"
"Male","943"
"20-24",""
"Female","831"
"Male","407"
"25-29",""
"Female","667"
"Male","297"
"30-34",""
"Female","467"
"Male","238"
"35-39",""
"Female","481"
"Male","241"
"40-44",""
"Female","439"
"Male","269"
"45-49",""
"Female","422"
"Male","262"
"50-54",""
"Female","398"
"Male","283"
"55-59",""
"Female","315"
"Male","262"
"5-9",""
"Female","860"
"Male","950"
"60-64",""
"Female","314"
"Male","262"
"65-69",""
"Female","202"
"Male","203"
"70-74",""
"Female","163"
"Male","184"
"75+",""
"Female","202"
"Male","211"
