"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","22"
"Cow Dung","1"
"Electricity","0"
"Kerosene","13"
"LP Gas","174"
"Not stated","3"
"Others","0"
"Wood/Firewood","3081"
"Total","3294"
