"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","9"
"Male","5"
"Brahman - Hill",""
"Female","3918"
"Male","3126"
"Chhetri",""
"Female","376"
"Male","296"
"Damai/Dholi",""
"Female","374"
"Male","311"
"Gharti/Bhujel",""
"Female","28"
"Male","25"
"Gurung",""
"Female","326"
"Male","280"
"Kami",""
"Female","841"
"Male","649"
"Magar",""
"Female","1932"
"Male","1467"
"Musalman",""
"Female","27"
"Male","22"
"Newar",""
"Female","131"
"Male","117"
"Others",""
"Female","19"
"Male","9"
"Sanyasi/Dasnami",""
"Female","30"
"Male","22"
"Sarki",""
"Female","241"
"Male","195"
"Thakuri",""
"Female","326"
"Male","267"
"Tharu",""
"Female","8"
"Male","4"
