"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","52"
"Male","61"
"Chhetri",""
"Female","6144"
"Male","4897"
"Dalit Others",""
"Female","428"
"Male","314"
"Damai/Dholi",""
"Female","274"
"Male","197"
"Gurung",""
"Female","207"
"Male","157"
"Kami",""
"Female","1533"
"Male","1283"
"Magar",""
"Female","4151"
"Male","3318"
"Majhi",""
"Female","32"
"Male","28"
"Others",""
"Female","13"
"Male","12"
"Sanyasi/Dasnami",""
"Female","247"
"Male","196"
"Sarki",""
"Female","29"
"Male","31"
"Thakali",""
"Female","17"
"Male","10"
