"Population by Five Years Age Group","Number"
"0-4",""
"Female","57"
"Male","58"
"10-14",""
"Female","32"
"Male","28"
"15-19",""
"Female","47"
"Male","38"
"20-24",""
"Female","66"
"Male","57"
"25-29",""
"Female","84"
"Male","84"
"30-34",""
"Female","54"
"Male","63"
"35-39",""
"Female","67"
"Male","73"
"40-44",""
"Female","62"
"Male","51"
"45-49",""
"Female","72"
"Male","57"
"50-54",""
"Female","59"
"Male","63"
"55-59",""
"Female","51"
"Male","46"
"5-9",""
"Female","56"
"Male","59"
"60-64",""
"Female","29"
"Male","39"
"65-69",""
"Female","21"
"Male","32"
"70-74",""
"Female","23"
"Male","17"
"75+",""
"Female","16"
"Male","8"
