"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","3760"
"Mud Roof","1"
"Not Sated Roof","30"
"Other Type of Roof","52"
"RCC Roof","58"
"Thatch/Straw Roof","126"
"Tile/Slate Roof","164"
"Wood/Planks Roof","12"
"Total","4203"
