"Number of households by type of outer wall","Number"
"BambooWall","95"
"Cement Bonded Bricks/Stone Wall","12917"
"Mud Bonded Bricks/Stone Wall","3303"
"Not Stated about Wall","284"
"Other Type Wall","23"
"Unbaked Bricks","56"
"Wood/Planks","68"
"Total","16746"
