"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","23"
"Cow Dung","7"
"Electricity Fuel","2"
"KeroseneFuel","334"
"LP Gas","13696"
"Not Sated about Fuel","110"
"OthersFuel","33"
"Wood/FireWood","2541"
"Total","16746"
