"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","12"
"Male","17"
"Brahman - Hill",""
"Female","2387"
"Male","1943"
"Chhetri",""
"Female","6061"
"Male","5350"
"Dalit Others",""
"Female","1804"
"Male","1522"
"Damai/Dholi",""
"Female","309"
"Male","267"
"Kami",""
"Female","1420"
"Male","1322"
"Lohar",""
"Female","16"
"Male","10"
"Majhi",""
"Female","13"
"Male","12"
"Musalman",""
"Female","3"
"Male","10"
"Others",""
"Female","14"
"Male","8"
"Sarki",""
"Female","31"
"Male","25"
"Terai Others",""
"Female","17"
"Male","18"
"Thakuri",""
"Female","603"
"Male","544"
