"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","10"
"Male","48"
"Chepang",""
"Female","40"
"Male","51"
"Hindi",""
"Female","5"
"Male","13"
"Magar",""
"Female","74"
"Male","59"
"Maithili",""
"Female","2"
"Male","16"
"Nepali",""
"Female","10727"
"Male","10233"
"Newar",""
"Female","69"
"Male","47"
"Not Reported",""
"Female","16"
"Male","14"
"Others",""
"Female","19"
"Male","16"
"Rai",""
"Female","7"
"Male","11"
"Tamang",""
"Female","2783"
"Male","2775"
"Urdu",""
"Female","21"
"Male","28"
