"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","2045"
"Male","1885"
"Chepang /Praja",""
"Female","1950"
"Male","1977"
"Chhetri",""
"Female","2325"
"Male","2146"
"Damai/Dholi",""
"Female","373"
"Male","402"
"Danuwar",""
"Female","250"
"Male","216"
"Ghale",""
"Female","116"
"Male","94"
"Gharti/Bhujel",""
"Female","273"
"Male","271"
"Gurung",""
"Female","97"
"Male","81"
"Kami",""
"Female","621"
"Male","572"
"Magar",""
"Female","712"
"Male","666"
"Majhi",""
"Female","7"
"Male","10"
"Musalman",""
"Female","43"
"Male","72"
"Newar",""
"Female","778"
"Male","749"
"Others",""
"Female","35"
"Male","37"
"Rai",""
"Female","35"
"Male","40"
"Sanyasi/Dasnami",""
"Female","36"
"Male","43"
"Sarki",""
"Female","589"
"Male","570"
"Tamang",""
"Female","3455"
"Male","3448"
"Thakuri",""
"Female","10"
"Male","8"
"Tharu",""
"Female","10"
"Male","14"
"Undefined Others",""
"Female","13"
"Male","10"
