"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","87"
"Cow Dung","1"
"Electricity","0"
"Kerosene","15"
"LP Gas","43"
"Not stated","23"
"Others","2"
"Wood/Firewood","4705"
"Total","4876"
