"Population by Caste Ethinicity","Number"
"Badhaee",""
"Female","54"
"Male","54"
"","108"
"Baraee",""
"Female","173"
"Male","161"
"","334"
"Bin",""
"Female","283"
"Male","262"
"","545"
"Brahman - Hill",""
"Female","125"
"Male","113"
"","238"
"Brahman - Tarai",""
"Female","195"
"Male","209"
"","404"
"Chamar/ Harijan/ Ram",""
"Female","783"
"Male","803"
"","1586"
"Chhetri",""
"Female","13"
"Male","16"
"","29"
"Damai/Dholi",""
"Female","24"
"Male","25"
"","49"
"Danuwar",""
"Female","34"
"Male","35"
"","69"
"Dhanuk",""
"Female","2412"
"Male","2489"
"","4901"
"Dhobi",""
"Female","422"
"Male","437"
"","859"
"Dhunia",""
"Female","5"
"Male","11"
"","16"
"Dom",""
"Female","29"
"Male","46"
"","75"
"Dusadh/ Pasawan/ Pasi",""
"Female","232"
"Male","208"
"","440"
"Gaderi/Bhedihar",""
"Female","336"
"Male","348"
"","684"
"Hajam/Thakur",""
"Female","235"
"Male","256"
"","491"
"Halwai",""
"Female","238"
"Male","281"
"","519"
"Kalwar",""
"Female","68"
"Male","62"
"","130"
"Kathabaniyan",""
"Female","120"
"Male","102"
"","222"
"Kayastha",""
"Female","26"
"Male","26"
"","52"
"Kewat",""
"Female","495"
"Male","528"
"","1023"
"Khatwe",""
"Female","419"
"Male","401"
"","820"
"Kumhar",""
"Female","202"
"Male","160"
"","362"
"Kurmi",""
"Female","47"
"Male","58"
"","105"
"Lohar",""
"Female","115"
"Male","106"
"","221"
"Majhi",""
"Female","12"
"Male","14"
"","26"
"Mali",""
"Female","63"
"Male","63"
"","126"
"Musahar",""
"Female","236"
"Male","238"
"","474"
"Musalman",""
"Female","1394"
"Male","1272"
"","2666"
"Newar",""
"Female","20"
"Male","19"
"","39"
"Others",""
"Female","42"
"Male","20"
"","62"
"Sanyasi/Dasnami",""
"Female","99"
"Male","86"
"","185"
"Sonar",""
"Female","165"
"Male","160"
"","325"
"Sudhi",""
"Female","793"
"Male","878"
"","1671"
"Sunuwar",""
"Female","34"
"Male","30"
"","64"
"Tatma/Tatwa",""
"Female","876"
"Male","793"
"","1669"
"Teli",""
"Female","730"
"Male","733"
"","1463"
"Terai Others",""
"Female","60"
"Male","49"
"","109"
"Thakuri",""
"Female","6"
"Male","5"
"","11"
"Tharu",""
"Female","17"
"Male","12"
"","29"
"Undefined Others",""
"Female","13"
"Male","16"
"","29"
"Yadav",""
"Female","5177"
"Male","5149"
"","10326"
