"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","3"
"Cow Dung","0"
"Electricity Fuel","1"
"KeroseneFuel","6"
"LP Gas","11"
"Not Sated about Fuel","10"
"OthersFuel","1"
"Wood/FireWood","2890"
"Total","2922"
