"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1041"
"Male","863"
"","1904"
"Chhetri",""
"Female","3992"
"Male","3214"
"","7206"
"Damai/Dholi",""
"Female","186"
"Male","169"
"","355"
"Gharti/Bhujel",""
"Female","198"
"Male","166"
"","364"
"Kami",""
"Female","527"
"Male","442"
"","969"
"Magar",""
"Female","146"
"Male","138"
"","284"
"Majhi",""
"Female","280"
"Male","258"
"","538"
"Newar",""
"Female","253"
"Male","220"
"","473"
"Others",""
"Female","29"
"Male","21"
"","50"
"Pahari",""
"Female","628"
"Male","631"
"","1259"
"Sanyasi/Dasnami",""
"Female","64"
"Male","44"
"","108"
"Sarki",""
"Female","354"
"Male","315"
"","669"
"Tamang",""
"Female","1532"
"Male","1310"
"","2842"
"Terai Others",""
"Female","17"
"Male","8"
"","25"
"Thakuri",""
"Female","40"
"Male","25"
"","65"
"Thami",""
"Female","76"
"Male","59"
"","135"
