"Population by Caste Ethinicity","Number"
"Brahman - Hill",""
"Female","1791"
"Male","1741"
"","3532"
"Brahmu/ Baramo",""
"Female","38"
"Male","27"
"","65"
"Chepang /Praja",""
"Female","4915"
"Male","5038"
"","9953"
"Chhetri",""
"Female","1693"
"Male","1602"
"","3295"
"Dalit Others",""
"Female","24"
"Male","19"
"","43"
"Damai/Dholi",""
"Female","471"
"Male","430"
"","901"
"Ghale",""
"Female","283"
"Male","264"
"","547"
"Gharti/Bhujel",""
"Female","76"
"Male","72"
"","148"
"Gurung",""
"Female","639"
"Male","615"
"","1254"
"Kami",""
"Female","799"
"Male","737"
"","1536"
"Magar",""
"Female","1343"
"Male","1311"
"","2654"
"Majhi",""
"Female","6"
"Male","7"
"","13"
"Musalman",""
"Female","86"
"Male","125"
"","211"
"Newar",""
"Female","1111"
"Male","1092"
"","2203"
"Nuniya",""
"Female","6"
"Male","10"
"","16"
"Others",""
"Female","37"
"Male","67"
"","104"
"Rai",""
"Female","25"
"Male","22"
"","47"
"Sanyasi/Dasnami",""
"Female","133"
"Male","117"
"","250"
"Sarki",""
"Female","438"
"Male","394"
"","832"
"Sunuwar",""
"Female","8"
"Male","7"
"","15"
"Tamang",""
"Female","1575"
"Male","1628"
"","3203"
"Teli",""
"Female","15"
"Male","23"
"","38"
"Terai Others",""
"Female","11"
"Male","10"
"","21"
"Thakuri",""
"Female","277"
"Male","271"
"","548"
"Tharu",""
"Female","15"
"Male","31"
"","46"
