"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","4165"
"Christianity","2532"
"Hindu","23784"
"Islam","211"
"Jainism","1"
"Kirat","2"
"Prakriti","705"
"Sikhism","0"
"Undefined","75"
"Total","31475"
