"Industries Types","Number"
"Accommodation and food","1100"
"Administrative and support service activity","84"
"Agriculture, forestry and fishing","217"
"Art, entertainment and recreation","5"
"Construction","12"
"Education","459"
"Electricty gas and water","1"
"Financial intermediation and insurance","140"
"Health and social work","179"
"Information and communications","29"
"Manufacturing","1446"
"Mining and quarrying","4"
"Other service activities","991"
"Professional,scientific and techniqual activity","116"
"Real state, renting and business activities","1"
"Transport and storage","60"
"Water supply, wet management","41"
"Wholesale and retail trade","7905"
"Total","12790"
