"Industries Employment","Number"
"Accommodation,  food",""
"Female","703"
"Male","1813"
"Administrative, support service",""
"Female","10"
"Male","205"
"Agriculture, forestry and  fishing",""
"Female","173"
"Male","570"
"Arts, entertainment, recreation",""
"Female","0"
"Male","14"
"Construction",""
"Female","3"
"Male","71"
"Education",""
"Female","1789"
"Male","3353"
"Electricity, gas and water",""
"Female","1"
"Male","8"
"Financial intermediation and insurance",""
"Female","147"
"Male","625"
"Health, social work",""
"Female","521"
"Male","816"
"Information and communication",""
"Female","33"
"Male","119"
"Manufacturing",""
"Female","902"
"Male","10567"
"Other service activities",""
"Female","1509"
"Male","2014"
"Professional, scientific, techniqual activity",""
"Female","7"
"Male","212"
"Real estate, renting and business activity",""
"Female","1"
"Male","1"
"Transportation,  storage",""
"Female","119"
"Male","403"
"Water supply, wet management",""
"Female","43"
"Male","123"
"Wholesale, retail trade",""
"Female","3185"
"Male","11184"
