"Population by Five Years Age Group","Number"
"0-4",""
"Female","1302"
"Male","1329"
"10-14",""
"Female","1436"
"Male","1565"
"15-19",""
"Female","713"
"Male","997"
"20-24",""
"Female","830"
"Male","867"
"25-29",""
"Female","758"
"Male","803"
"30-34",""
"Female","684"
"Male","626"
"35-39",""
"Female","669"
"Male","658"
"40-44",""
"Female","513"
"Male","582"
"45-49",""
"Female","478"
"Male","471"
"50-54",""
"Female","325"
"Male","400"
"55-59",""
"Female","297"
"Male","298"
"5-9",""
"Female","1660"
"Male","1818"
"60-64",""
"Female","307"
"Male","296"
"65-69",""
"Female","219"
"Male","244"
"70-74",""
"Female","137"
"Male","155"
"75+",""
"Female","95"
"Male","118"
