"Population by Rural/Urban","Number"
"Metropolitan City Population",""
"Female","759384"
"Male","821916"
"Total","1581300"
"Municipality Population",""
"Female","1165737"
"Male","1138067"
"Total","2303804"
"Number of Metropolitan City","3"
"Number of Municipality","41"
"Number of Rural Municipality","74"
"Number of Sub-Metropolitan City","1"
"Rural Municipality Population",""
"Female","778549"
"Male","711139"
"Total","1489688"
"Sub-Metropolitan City Population",""
"Female","78149"
"Male","76511"
"Total","154660"
