"Agricultural Land Use","Hectare"
"All Other Land","23723.30"
"Land Used for Permanent Crop","11064.90"
"Land used for Permanent Meadows and Pastures","4095.70"
"Land used for Temporary Crop","278597.50"
"Wood Land and Forest","10815.90"
"Total","328297.30"
