"Population by Age of First Marriage","Number"
"10-14 Years",""
"Female","183378"
"Male","47307"
"15-19 Years",""
"Female","797173"
"Male","384453"
"20-24 Years",""
"Female","420071"
"Male","514030"
"25-29 Years",""
"Female","93600"
"Male","261078"
"30-34 Years",""
"Female","17659"
"Male","77321"
"35-39 Years",""
"Female","4538"
"Male","16998"
"40-44 Years",""
"Female","1492"
"Male","4434"
"45-49 Years",""
"Female","481"
"Male","1234"
"50 Years Above",""
"Female","370"
"Male","773"
"Below 10 Year",""
"Female","25437"
"Male","5827"
