"Number of households by type of outer wall","Number"
"BambooWall","4409"
"Cement Bonded Bricks/Stone Wall","1159"
"Mud Bonded Bricks/Stone Wall","172"
"Not stated","240"
"Others","0"
"Unbaked Bricks","6"
"Wood/Planks","80"
"Total","6066"
