"Population by Five Years Age Group","Number"
"0-4",""
"Female","1724"
"Male","1770"
"10-14",""
"Female","2192"
"Male","2479"
"15-19",""
"Female","1408"
"Male","1680"
"20-24",""
"Female","1409"
"Male","1381"
"25-29",""
"Female","1393"
"Male","1116"
"30-34",""
"Female","1319"
"Male","927"
"35-39",""
"Female","1177"
"Male","933"
"40-44",""
"Female","868"
"Male","812"
"45-49",""
"Female","733"
"Male","717"
"50-54",""
"Female","608"
"Male","653"
"55-59",""
"Female","508"
"Male","612"
"5-9",""
"Female","2230"
"Male","2321"
"60-64",""
"Female","478"
"Male","512"
"65-69",""
"Female","324"
"Male","354"
"70-74",""
"Female","260"
"Male","251"
"75+",""
"Female","191"
"Male","216"
