"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","23"
"Cow Dung","1"
"Electricity Fuel","98"
"KeroseneFuel","16"
"LP Gas","245"
"Not Sated about Fuel","13"
"OthersFuel","1"
"Wood/FireWood","4413"
"Total","4810"
