"Agricultural land use area","Hectare"
"Area under arable land","4122.00"
"Area under meadows and pasture","81.00"
"Area under permanent crops","61.00"
"Area under Temporary crops","3998.00"
"Area under temporary fallow","115.00"
"Area under temporary meadows","8.00"
"Other land","163.00"
"Ponds","0.00"
"Woodland and forest","131.00"
"Total","8679.00"
