"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","7041"
"Mud Roof","1"
"Not Sated Roof","64"
"Other Type of Roof","68"
"RCC Roof","390"
"Thatch/Straw Roof","144"
"Tile/Slate Roof","934"
"Wood/Planks Roof","1099"
"Total","9741"
